[0, 0]
[30, 0]
[60, 0]
[90, 0]
[120, 0]
[150, 0]
[180, 0]
[210, 0]
[240, 0]
[270, 0]
[300, 0]
[330, 0]
[360, 0]
[390, 0]
[420, 0]
[450, 0]
[480, 0]
[510, 0]
[540, 0]
[570, 0]
[600, 0]
[630, 0]
[660, 0]
[690, 0]
[720, 0]
[750, 0]
[780, 0]
[810, 0]
[840, 0]
[870, 0]
[900, 0]
[930, 0]
[960, 0]
[990, 0]
[1020, 0]
[1050, 0]
[1080, 0]
[1110, 0]
[1140, 0]
[1170, 0]
[1200, 0]
[1230, 0]
[1260, 0]
[1290, 0]
[1320, 0]
[1350, 0]
[1380, 0]
[1410, 0]
[1440, 0]
[1470, 0]
[1500, 0]
[1530, 0]
[1560, 0]
[1590, 0]
[1620, 0]
[1650, 0]
[1680, 0]
[1710, 0]
[1740, 0]
[1770, 0]
[1800, 0]
[1830, 0]
[1860, 0]
[1890, 0]
[1920, 0]
[1950, 0]
[1980, 0]
[2010, 0]
[2040, 0]
[2070, 0]
[2100, 0]
[2130, 0]
[2160, 0]
[2190, 0]
[2220, 0]
[2250, 0]
[2280, 0]
[2310, 0]
[2340, 0]
[2370, 0]
[2400, 0]
[2430, 0]
[2460, 0]
[2490, 0]
[2520, 0]
[2550, 0]
[2580, 0]
[2610, 0]
[2640, 0]
[2670, 0]
[2700, 0]
[2730, 0]
[2760, 0]
[2790, 0]
[2820, 0]
[2850, 0]
[2880, 0]
[2910, 0]
[2940, 0]
[2970, 0]
[3000, 0]
[3030, 0]
[3060, 0]
[3090, 0]
[3120, 0]
[3150, 0]
[3180, 0]
[3210, 0]
[3240, 0]
[3270, 0]
[3300, 0]
[3330, 0]
[3360, 0]
[3390, 0]
[3420, 0]
[3450, 0]
[3480, 0]
[3510, 0]
[3540, 0]
[3570, 0]
[3600, 0]
[3630, 0]
[3660, 0]
[3690, 0]
[3720, 0]
[3750, 0]
[3780, 0]
[3810, 0]
[3840, 0]
[3870, 0]
[3900, 0]
[3930, 0]
[3960, 0]
[3990, 0]
[4020, 0]
[4050, 0]
[4080, 0]
[4110, 0]
[4140, 0]
[4170, 0]
[4200, 0]
[4230, 0]
[4260, 0]
[4290, 0]
[4320, 0]
[4350, 0]
[4380, 0]
[4410, 0]
[4440, 0]
[4470, 0]
[4500, 0]
[4530, 0]
[4560, 0]
[4590, 0]
[4620, 0]
[4650, 0]
[4680, 0]
[4710, 0]
[4740, 0]
[4770, 0]
[4800, 0]
[4830, 0]
[4860, 0]
[4890, 0]
[4920, 0]
[4950, 0]
[4980, 0]
[5010, 0]
[5040, 0]
[5070, 0]
[5100, 0]
[5130, 0]
[5160, 0]
[5190, 0]
[5220, 0]
[5250, 0]
[5280, 0]
[5310, 0]
[5340, 0]
[5370, 0]
[5400, 0]
[5430, 0]
[5460, 0]
[5490, 0]
[5520, 0]
[5550, 0]
[5580, 0]
[5610, 0]
[5640, 0]
[5670, 0]
[5700, 0]
[5730, 0]
[5760, 0]
[5790, 0]
[5820, 0]
[5850, 0]
[5880, 0]
[5910, 0]
[5940, 0]
[5970, 0]
[6000, 0]
[6030, 0]
[6060, 0]
[6090, 0]
[6120, 0]
[6150, 0]
[6180, 0]
[6210, 0]
[6240, 0]
[6270, 0]
[6300, 0]
[6330, 0]
[6360, 0]
[6390, 0]
[6420, 0]
[6450, 0]
[6480, 0]
[6510, 0]
[6540, 0]
[6570, 0]
[6600, 0]
[6630, 0]
[6660, 0]
[6690, 0]
[6720, 0]
[6750, 0]
[6780, 0]
[6810, 0]
[6840, 0]
[6870, 0]
[6900, 0]
[6930, 0]
[6960, 0]
[6990, 0]
[7020, 0]
[7050, 0]
[7080, 0]
[7110, 0]
[7140, 0]
[7170, 0]
[7200, 0]
[7230, 0]
[7260, 0]
[7290, 0]
[7320, 0]
[7350, 0]
[7380, 0]
[7410, 0]
[7440, 0]
[7470, 0]
[7500, 0]
[7530, 0]
[7560, 0]
[7590, 0]
[7620, 0]
[7650, 0]
[7680, 0]
[7710, 0]
[7740, 0]
[7770, 0]
[7800, 0]
[7830, 0]
[7860, 0]
[7890, 0]
[7920, 0]
[7950, 0]
[7980, 0]
[8010, 0]
[8040, 0]
[8070, 0]
[8100, 0]
[8130, 0]
[8160, 0]
[8190, 0]
[8220, 0]
[8250, 0]
[8280, 0]
[8310, 0]
[8340, 0]
[8370, 0]
[8400, 0]
[8430, 0]
[8460, 0]
[8490, 0]
[8520, 0]
[8550, 0]
[8580, 0]
[8610, 0]
[8640, 0]
[8670, 0]
[8700, 0]
[8730, 0]
[8760, 0]
[8790, 0]
[8820, 0]
[8850, 0]
[8880, 0]
[8910, 0]
[8940, 0]
[8970, 0]
[9000, 0]
[9030, 0]
[9060, 0]
[9090, 0]
[9120, 0]
[9150, 0]
[9180, 0]
[9210, 0]
[9240, 0]
[9270, 0]
[9300, 0]
[9330, 0]
[9360, 0]
[9390, 0]
[9420, 0]
[9450, 0]
[9480, 0]
[9510, 0]
[9540, 0]
[9570, 0]
[9600, 0]
[9630, 0]
[9660, 0]
[9690, 0]
[9720, 0]
[9750, 0]
[9780, 0]
[9810, 0]
[9840, 0]
[9870, 0]
[9900, 0]
[9930, 0]
[9960, 0]
[9990, 0]
[10020, 0]
[10050, 0]
[10080, 0]
[10110, 0]
[10140, 0]
[10170, 0]
[10200, 0]
[10230, 0]
[10260, 0]
[10290, 0]
[10320, 0]
[10350, 0]
[10380, 0]
[10410, 0]
[10440, 0]
[10470, 0]
[10500, 0]
[10530, 0]
[10560, 0]
[10590, 0]
[10620, 0]
[10650, 0]
[10680, 0]
[10710, 0]
[10740, 0]
[10770, 0]
[10800, 0]
[10830, 0]
[10860, 0]
[10890, 0]
[10920, 0]
[10950, 0]
[10980, 0]
[11010, 0]
[11040, 0]
[11070, 0]
[11100, 0]
[11130, 0]
[11160, 0]
[11190, 0]
[11220, 0]
[11250, 0]
[11280, 0]
[11310, 0]
[11340, 0]
[11370, 0]
[11400, 0]
[11430, 0]
[11460, 0]
[11490, 0]
[11520, 0]
[11550, 0]
[11580, 0]
[11610, 0]
[11640, 0]
[11670, 0]
[11700, 0]
[11730, 0]
[11760, 0]
[11790, 0]
[11820, 0]
[11850, 0]
[11880, 0]
[11910, 0]
[11940, 0]
[11970, 0]
[12000, 0]
[12030, 0]
[12060, 0]
[12090, 0]
[12120, 0]
[12150, 0]
[12180, 0]
[12210, 0]
[12240, 0]
[12270, 0]
[12300, 0]
[12330, 0]
[12360, 0]
[12390, 0]
[12420, 0]
[12450, 0]
[12480, 0]
[12510, 0]
[12540, 0]
[12570, 0]
[12600, 0]
[12630, 0]
[12660, 0]
[12690, 0]
[12720, 0]
[12750, 0]
[12780, 0]
[12810, 0]
[12840, 0]
[12870, 0]
[12900, 0]
[12930, 0]
[12960, 0]
[12990, 0]
[13020, 0]
[13050, 0]
[13080, 0]
[13110, 0]
[13140, 0]
[13170, 0]
[13200, 0]
[13230, 0]
[13260, 0]
[13290, 0]
[13320, 0]
[13350, 0]
[13380, 0]
[13410, 0]
[13440, 0]
[13470, 0]
[13500, 0]
[13530, 0]
[13560, 0]
[13590, 0]
[13620, 0]
[13650, 0]
[13680, 0]
[13710, 0]
[13740, 0]
[13770, 0]
[13800, 0]
[13830, 0]
[13860, 0]
[13890, 0]
[13920, 0]
[13950, 0]
[13980, 0]
[14010, 0]
[14040, 0]
[14070, 0]
[14100, 0]
[14130, 0]
[14160, 0]
[14190, 0]
[14220, 0]
[14250, 0]
[14280, 0]
[14310, 0]
[14340, 0]
[14370, 0]
[14400, 0]
[14430, 0]
[14460, 0]
[14490, 0]
[14520, 0]
[14550, 0]
[14580, 0]
[14610, 0]
[14640, 0]
[14670, 0]
[14700, 0]
[14730, 0]
[14760, 0]
[14790, 0]
[14820, 0]
[14850, 0]
[14880, 0]
[14910, 0]
[14940, 0]
[14970, 0]
[15000, 0]
[15030, 0]
[15060, 0]
[15090, 0]
[15120, 0]
[15150, 0]
[15180, 0]
[15210, 0]
[15240, 0]
[15270, 0]
[15300, 0]
[15330, 0]
[15360, 0]
[15390, 0]
[15420, 0]
[15450, 0]
[15480, 0]
[15510, 0]
[15540, 0]
[15570, 0]
[15600, 0]
[15630, 0]
[15660, 0]
[15690, 0]
[15720, 0]
[15750, 0]
[15780, 0]
[15810, 0]
[15840, 0]
[15870, 0]
[15900, 0]
[15930, 0]
[15960, 0]
[15990, 0]
[16020, 0]
[16050, 0]
[16080, 0]
[16110, 0]
[16140, 0]
[16170, 0]
[16200, 0]
[16230, 0]
[16260, 0]
[16290, 0]
[16320, 0]
[16350, 0]
[16380, 0]
[16410, 0]
[16440, 0]
[16470, 0]
[16500, 0]
[16530, 0]
[16560, 0]
[16590, 0]
[16620, 0]
[16650, 0]
[16680, 0]
[16710, 0]
[16740, 0]
[16770, 0]
[16800, 0]
[16830, 0]
[16860, 0]
[16890, 0]
[16920, 0]
[16950, 0]
[16980, 0]
[17010, 0]
[17040, 0]
[17070, 0]
[17100, 0]
[17130, 0]
[17160, 0]
[17190, 0]
[17220, 0]
[17250, 0]
[17280, 0]
[17310, 0]
[17340, 0]
[17370, 0]
[17400, 0]
[17430, 0]
[17460, 0]
[17490, 0]
[17520, 0]
[17550, 0]
[17580, 0]
[17610, 0]
[17640, 0]
[17670, 0]
[17700, 0]
[17730, 0]
[17760, 0]
[17790, 0]
[17820, 0]
[17850, 0]
[17880, 0]
[17910, 0]
[17940, 0]
[17970, 0]
[18000, 0]
[18030, 0]
[18060, 0]
[18090, 0]
[18120, 0]
[18150, 0]
[18180, 0]
[18210, 0]
[18240, 0]
[18270, 0]
[18300, 0]
[18330, 0]
[18360, 0]
[18390, 0]
[18420, 0]
[18450, 0]
[18480, 0]
[18510, 0]
[18540, 0]
[18570, 0]
[18600, 0]
[18630, 0]
[18660, 0]
[18690, 0]
[18720, 0]
[18750, 0]
[18780, 0]
[18810, 0]
[18840, 0]
[18870, 0]
[18900, 0]
[18930, 0]
[18960, 0]
[18990, 0]
[19020, 0]
[19050, 0]
[19080, 0]
[19110, 0]
[19140, 0]
[19170, 0]
[19200, 0]
[19230, 0]
[19260, 0]
[19290, 0]
[19320, 0]
[19350, 0]
[19380, 0]
[19410, 0]
[19440, 0]
[19470, 0]
[19500, 0]
[19530, 0]
[19560, 0]
[19590, 0]
[19620, 0]
[19650, 0]
[19680, 0]
[19710, 0]
[19740, 0]
[19770, 0]
[19800, 0]
[19830, 0]
[19860, 0]
[19890, 0]
[19920, 0]
[19950, 0]
[19980, 0]
[20010, 0]
[20040, 0]
[20070, 0]
[20100, 0]
[20130, 0]
[20160, 0]
[20190, 0]
[20220, 0]
[20250, 0]
[20280, 0]
[20310, 0]
[20340, 0]
[20370, 0]
[20400, 0]
[20430, 0]
[20460, 0]
[20490, 0]
[20520, 0]
[20550, 0]
[20580, 0]
[20610, 0]
[20640, 1]
[20670, 1]
[20700, 1]
[20730, 1]
[20760, 1]
[20790, 1]
[20820, 1]
[20850, 1]
[20880, 1]
[20910, 1]
[20940, 1]
[20970, 1]
[21000, 1]
[21030, 1]
[21060, 1]
[21090, 1]
[21120, 1]
[21150, 1]
[21180, 1]
[21210, 1]
[21240, 1]
[21270, 0]
[21300, 0]
[21330, 0]
[21360, 0]
[21390, 0]
[21420, 0]
[21450, 0]
[21480, 0]
[21510, 0]
[21540, 0]
[21570, 0]
[21600, 0]
[21630, 0]
[21660, 0]
[21690, 0]
[21720, 0]
[21750, 0]
[21780, 0]
[21810, 0]
[21840, 0]
[21870, 0]
[21900, 0]
[21930, 0]
[21960, 0]
[21990, 0]
[22020, 0]
[22050, 0]
[22080, 0]
[22110, 0]
[22140, 0]
[22170, 0]
[22200, 0]
[22230, 0]
[22260, 0]
[22290, 0]
[22320, 0]
[22350, 0]
[22380, 0]
[22410, 0]
[22440, 0]
[22470, 0]
[22500, 0]
[22530, 0]
[22560, 0]
[22590, 0]
[22620, 0]
[22650, 0]
[22680, 0]
[22710, 0]
[22740, 0]
